dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,453595797,0.11022999999999999,6491426,6206831,284595,5.6919000000000004,0.043841699999999997,284595,0.043841699999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,410219552,0.12188599999999999,7333133,7207372,125761,2.5152199999999998,0.0171497,125761,0.0171497,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,100481262,0.49760500000000002,233569,71128,162441,3.2488199999999998,0.69547300000000001,162441,0.69547300000000001,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,310572657,0.160993,4076552,3517909,558643,11.1729,0.13703799999999999,558643,0.13703799999999999,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000005,62536734,0.79952999999999996,59800,119,59681,1.1936199999999999,0.99800999999999995,59677,0.99794300000000002,4,6.6889600000000004e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000000,70687867,0.70733500000000005,74187,18277,55910,1.1182000000000001,0.75363599999999997,55905,0.75356900000000004,5,6.7397299999999999e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,59350603,0.84245099999999995,78714,459,78255,1.5650999999999999,0.99416899999999997,78254,0.99415600000000004,1,1.2704199999999999e-05,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,37623765,1.3289500000000001,1353621,882719,470902,9.4180399999999995,0.347883,470902,0.347883,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,117850608,0.42426599999999998,251543,197646,53897,1.0779399999999999,0.21426600000000001,53888,0.21423,9,3.5779199999999998e-05,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000005,58741593,0.851186,737111,569656,167455,3.3491,0.22717699999999999,167453,0.22717499999999999,2,2.7132999999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000000,62224990,0.80353600000000003,375907,262778,113129,2.2625799999999998,0.30094900000000002,113128,0.30094700000000002,1,2.6602299999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000002,65092772,0.76813399999999998,604093,538014,66079,1.32158,0.109385,66077,0.10938199999999999,2,3.31075e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,71308070,0.701183,303165,75696,227469,4.5493800000000002,0.75031400000000004,227467,0.75030799999999997,2,6.5970700000000003e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,123107520,0.40614899999999998,988164,771420,216744,4.3348800000000001,0.21934000000000001,216450,0.21904299999999999,294,0.00029752100000000003,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,256357212,0.19503999999999999,1623171,823317,799854,15.9971,0.49277199999999999,799854,0.49277199999999999,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000001,97767889,0.51141499999999995,1183981,1075180,108801,2.1760199999999998,0.091894199999999995,108793,0.091887499999999997,8,6.7568700000000001e-06,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,185504904,0.26953500000000002,207169,29959,177210,3.5442,0.85538899999999995,174404,0.84184400000000004,2806,0.013544499999999999,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,35154027,1.42231,413831,361889,51942,1.03884,0.12551499999999999,51346,0.124075,596,0.0014402,0,0,0,0,0,0
